year,1,2,3,4,5,6,7,8,9,10,11,12
1948,-26.89,-27.01,-23.69,-16.36,-3.43,3.23,4.92,3.11,-3.21,-10.50,-19.54,-28.13
1949,-28.38,-24.17,-20.53,-16.54,-5.33,2.37,5.10,3.42,-2.59,-12.20,-18.35,-21.34
1950,-26.42,-27.62,-21.20,-14.53,-3.76,3.15,5.10,3.35,-4.26,-13.46,-21.07,-25.44
1951,-31.43,-28.89,-20.89,-14.41,-3.64,2.81,5.03,3.22,-2.39,-13.78,-22.59,-25.33
1952,-25.44,-24.36,-24.11,-15.61,-3.33,3.11,5.30,3.17,-2.67,-13.56,-20.29,-23.64
1953,-26.51,-25.98,-26.26,-13.38,-2.94,3.84,5.35,3.68,-3.90,-13.54,-18.54,-25.06
1954,-26.20,-26.37,-24.93,-14.03,-4.30,3.24,5.41,4.33,-2.97,-11.14,-19.75,-23.87
1955,-25.27,-27.11,-21.84,-15.95,-6.63,3.05,5.06,3.53,-3.33,-11.93,-22.29,-24.94
1956,-24.86,-23.66,-24.25,-15.21,-6.06,2.65,5.15,2.86,-3.94,-14.59,-18.96,-20.38
1957,-24.63,-23.50,-21.70,-13.77,-4.17,2.98,5.54,3.59,-4.25,-11.66,-20.07,-26.81
1958,-23.60,-25.15,-21.95,-17.33,-6.41,2.34,5.18,3.63,-3.97,-14.01,-21.04,-22.61
1959,-24.20,-25.89,-22.82,-14.29,-5.39,2.75,4.94,3.42,-3.44,-12.63,-17.38,-24.94
1960,-23.58,-25.47,-23.83,-16.49,-4.58,3.28,5.47,3.46,-3.35,-13.31,-20.84,-22.96
1961,-24.91,-27.37,-24.12,-15.80,-7.03,2.61,5.09,2.95,-4.10,-12.76,-20.91,-25.69
1962,-25.26,-25.16,-19.88,-16.06,-7.41,2.23,4.85,2.90,-5.43,-13.96,-18.93,-24.36
1963,-26.70,-26.70,-26.48,-16.93,-6.22,1.96,4.49,2.80,-5.28,-14.90,-21.02,-23.27
1964,-28.79,-25.79,-26.21,-18.27,-7.78,2.30,4.72,3.34,-4.73,-14.20,-20.75,-24.38
1965,-25.65,-25.03,-23.58,-15.84,-6.37,2.26,4.75,3.09,-4.02,-15.12,-17.08,-25.68
1966,-28.38,-25.69,-24.77,-16.60,-6.40,2.41,4.82,3.67,-3.59,-15.40,-19.83,-21.92
1967,-26.98,-28.39,-22.00,-15.06,-5.04,2.06,4.77,2.94,-2.75,-12.74,-20.49,-22.56
1968,-24.64,-25.91,-22.34,-14.79,-6.02,2.48,4.53,3.18,-4.32,-13.12,-22.04,-25.95
1969,-24.55,-25.38,-25.60,-17.67,-6.88,1.85,4.77,3.02,-3.96,-12.16,-19.71,-21.06
1970,-24.23,-24.14,-22.03,-18.04,-6.08,2.21,4.90,2.70,-3.75,-13.43,-19.85,-24.25
1971,-27.63,-22.76,-21.93,-15.51,-5.32,2.60,5.14,3.34,-3.03,-13.74,-20.82,-24.43
1972,-23.89,-26.63,-21.86,-17.39,-7.29,1.71,4.68,3.01,-3.45,-12.34,-19.70,-23.62
1973,-24.31,-25.92,-22.86,-14.26,-5.94,2.87,4.94,3.43,-4.54,-13.84,-18.98,-24.26
1974,-22.78,-25.44,-21.90,-15.60,-6.20,1.86,5.25,3.62,-3.19,-12.66,-21.91,-26.07
1975,-26.92,-24.35,-22.88,-15.34,-6.40,2.04,4.81,2.96,-4.65,-14.37,-21.37,-24.06
1976,-24.46,-23.21,-20.18,-15.11,-7.28,2.00,4.50,3.31,-2.75,-14.33,-21.90,-23.61
1977,-19.19,-26.39,-24.78,-16.79,-5.46,2.55,5.24,3.37,-4.21,-13.06,-19.97,-24.28
1978,-25.21,-25.64,-23.28,-16.21,-5.99,1.45,4.56,2.88,-3.93,-13.93,-20.15,-23.47
1979,-24.72,-29.81,-22.31,-17.35,-6.43,1.87,5.24,3.39,-3.61,-13.69,-20.27,-24.24
1980,-22.69,-23.16,-21.10,-15.77,-5.02,2.71,4.85,3.01,-4.53,-11.63,-21.18,-23.91
1981,-23.80,-23.63,-20.96,-14.65,-5.37,2.79,4.81,3.73,-3.52,-10.45,-18.17,-22.19
1982,-25.54,-24.21,-22.68,-16.78,-6.72,1.84,4.96,3.23,-3.83,-13.00,-19.38,-22.81
1983,-25.60,-25.15,-20.16,-16.91,-5.82,2.30,5.12,3.58,-4.18,-13.91,-19.75,-22.40
1984,-22.99,-23.73,-23.39,-16.25,-5.60,2.80,5.36,2.95,-2.96,-11.32,-18.87,-22.02
1985,-22.66,-24.20,-23.83,-16.92,-6.28,2.82,5.07,3.13,-3.73,-13.81,-18.31,-19.66
1986,-25.72,-23.86,-24.58,-17.25,-5.53,2.39,4.59,2.82,-4.51,-13.21,-18.88,-22.91
1987,-24.89,-26.77,-24.06,-15.43,-6.19,2.22,5.05,3.13,-6.22,-13.71,-21.45,-23.77
1988,-24.74,-23.29,-23.37,-16.48,-4.54,2.67,5.50,3.31,-3.81,-13.58,-20.38,-23.28
1989,-28.04,-23.22,-22.43,-15.24,-4.93,2.75,4.99,3.78,-2.84,-13.18,-21.69,-22.06
1990,-21.64,-23.40,-20.97,-13.05,-2.68,3.41,5.36,4.05,-2.93,-14.21,-21.67,-24.66
1991,-23.41,-25.07,-22.06,-17.04,-3.84,2.91,5.73,4.02,-1.83,-12.58,-19.73,-23.02
1992,-25.17,-24.18,-19.96,-14.91,-5.87,2.19,4.83,2.70,-4.06,-13.32,-19.73,-22.91
1993,-25.50,-23.24,-24.37,-14.47,-4.80,3.03,5.43,3.28,-2.96,-12.31,-19.52,-24.53
1994,-23.83,-23.75,-23.48,-14.71,-5.22,3.07,5.47,3.45,-4.32,-10.92,-20.77,-23.87
1995,-23.33,-21.55,-22.06,-10.87,-4.05,2.91,5.41,3.88,-1.87,-10.39,-17.95,-24.61
1996,-24.85,-24.28,-21.55,-13.19,-4.67,1.96,4.84,2.75,-4.06,-12.97,-14.83,-22.44
1997,-27.61,-25.65,-18.99,-15.22,-5.55,2.41,4.97,2.74,-2.04,-10.02,-17.77,-23.32
1998,-22.63,-26.29,-20.95,-13.65,-5.71,2.82,5.80,4.02,-2.05,-11.72,-16.35,-22.24
1999,-24.37,-23.68,-20.13,-14.36,-5.34,2.31,5.19,3.71,-2.55,-11.80,-17.49,-21.24
2000,-23.38,-21.76,-19.05,-13.96,-5.92,2.64,5.02,3.33,-3.26,-10.52,-17.66,-20.94
2001,-22.92,-21.92,-21.66,-16.04,-6.63,2.18,5.23,4.08,-1.62,-10.43,-17.27,-18.82
2002,-22.30,-24.98,-18.55,-15.55,-4.05,3.06,5.64,4.48,-1.75,-8.58,-16.96,-19.59
2003,-22.74,-25.17,-20.84,-13.05,-3.78,2.57,5.89,4.30,-0.82,-8.25,-16.74,-21.29
2004,-22.36,-23.42,-21.26,-11.86,-3.68,2.74,6.07,4.20,-2.25,-10.61,-18.74,-21.76
2005,-19.69,-20.16,-20.33,-13.93,-3.01,3.80,5.80,4.28,-1.71,-9.27,-15.67,-19.16
2006,-19.86,-21.68,-18.95,-11.15,-2.50,3.05,5.88,3.76,-0.65,-8.11,-15.73,-21.84
2007,-23.19,-21.24,-21.09,-11.22,-4.83,3.41,5.89,4.63,-0.62,-6.78,-15.32,-19.35
2008,-24.88,-22.86,-21.15,-13.05,-3.72,2.90,5.84,4.31,-0.76,-10.01,-16.59,-20.28
2009,-20.98,-22.72,-21.25,-14.73,-3.28,2.55,5.74,4.13,-0.58,-7.69,-16.96,-19.07
2010,-23.85,-20.52,-18.55,-10.84,-2.39,3.60,5.92,4.38,-1.15,-8.30,-16.50,-20.08
2011,-21.43,-22.15,-18.32,-13.06,-3.91,3.74,6.39,4.84,-1.49,-9.06,-17.28,-20.22
2012,-21.32,-21.10,-20.69,-12.37,-3.57,4.01,6.34,4.62,0.05,-8.45,-15.31,-21.37
2013,-21.25,-25.40,-18.78,-12.03,-4.41,3.13,5.99,3.95,-1.06,-9.76,-18.17,-19.66
2014,-21.42,-19.95,-18.04,-12.62,-4.33,2.48,5.51,4.21,-1.39,-8.16,-17.08,-20.25
2015,-22.50,-22.42,-19.06,-11.82,-5.41,3.64,6.14,4.03,-1.14,-7.47,-14.97,-19.82
2016,-16.58,-16.97,-16.70,-11.86,-2.93,3.58,6.10,4.24,-0.03,-6.16,-11.51,-17.84
2017,-20.01,-19.75,-18.05,-11.52,-4.38,3.03,5.72,4.38,-0.40,-7.88,-13.81,-17.57
2018,-19.64,-16.70,-19.80,-12.26,-3.03,3.47,5.73,4.98,-0.36,-7.20,-16.55,-20.54
2019,-23.29,-22.21,-18.87,-10.81,-1.61,4.49,6.63,5.14,0.10,-8.32,-15.90,-19.68
2020,-23.58,-22.51,-21.24,-11.01,-2.31,3.90,6.67,5.37,-0.28,-7.06,-13.73,-18.78
2021,-20.52,-20.26,-20.91,-11.67,-2.57,3.43,5.36,4.72,-0.87,-6.28,-13.78,-17.73
