year,Alaska,"Arctic Canada, North","Arctic Canada, South","Asia, North",Global,"Greenland Periphery, East","Greenland Periphery, North","Greenland Periphery, West",Iceland,"Russian Arctic, East","Russian Arctic, West",Scandinavia,Svalbard and Jan Mayen,Western Canada
2001,-43.86,-27.29,-20.33,-1.02,-214.96,-18.04,-9.72,-7.44,-12.01,-2.19,-5.31,-1.88,-5.07,-1.68
2002,-42.64,-23.31,-21.55,-1.08,-216.35,-17.22,-11.87,-7.51,-10.81,-2.23,-6.2,-1.88,-5.27,-1.59
2003,-49.79,-27.49,-22.81,-1.16,-231.69,-16.5,-14.29,-8.06,-9.55,-1.7,-5.98,-1.9,-9.09,-2.74
2004,-54.65,-23.78,-22.27,-1.15,-235.48,-16.97,-10.69,-9.31,-11.54,-1.42,-6.77,-2.1,-10.03,-3.68
2005,-56.47,-18.32,-22.99,-1.02,-235.51,-17.87,-10.09,-7.66,-12.48,-1.84,-8.25,-1.83,-8.06,-4.56
2006,-57.13,-28.74,-23.1,-1.12,-244.08,-16.87,-11.67,-7.44,-10.45,-2.18,-7.68,-1.68,-7.86,-5.86
2007,-54.87,-29.77,-23.59,-1.25,-243.61,-14.71,-10.63,-9.87,-10.13,-2.19,-7.12,-1.77,-7.03,-5.34
2008,-56.7,-33.36,-24.56,-1.24,-254.61,-13.55,-11.91,-10.82,-10.21,-2.36,-6.94,-1.58,-7.66,-4.21
2009,-61.53,-38.25,-26.5,-1.27,-268.4,-13.72,-11.75,-9.99,-10.51,-3,-6.83,-1.61,-8.42,-5.33
2010,-66.73,-40.65,-27.97,-1.26,-274.65,-13.04,-10.17,-10,-12.32,-2.21,-7.46,-1.66,-9.54,-7.04
2011,-67.72,-36.44,-26.97,-1.43,-280.46,-13.89,-12.54,-12.36,-13.87,-2.35,-8.45,-1.82,-9.4,-7.92
2012,-67.58,-37.92,-27.81,-1.35,-286.4,-15.29,-16.45,-13.18,-8.2,-1.92,-7.82,-1.77,-8.18,-7.83
2013,-66.4,-33.2,-30.53,-1.3,-278.73,-14.19,-14.12,-12.54,-6.84,0.12,-8.87,-1.72,-10.1,-8.39
2014,-73.05,-31.16,-29.83,-1.22,-292.95,-12.26,-13.67,-12.23,-8.09,-2.11,-11.34,-1.86,-13.3,-9.79
2015,-77.76,-37.15,-29.89,-1.34,-285.15,-9.14,-11.69,-12.29,-6.46,-1.99,-8.28,-1.56,-12.82,-10.87
2016,-80.47,-35.94,-29,-1.46,-281.8,-7.76,-10.74,-11.8,-4.33,-1.42,-8.91,-1.26,-13.62,-11.35
2017,-87.85,-27.32,-28.67,-1.44,-308.42,-8.5,-12.85,-12.25,-7.45,-1.5,-14.58,-1.29,-17.62,-11.72
2018,-86.1,-14.82,-28.05,-1.35,-285.05,-6.58,-11,-12.48,-7.62,-2.63,-12.54,-1.29,-18.74,-11.79
2019,-90.91,-27.17,-30.68,-1.27,-294.77,-6.22,-10.48,-12.26,-6.71,-2.78,-8.84,-1.46,-14.87,-12.4
2020,-90.84,-39.15,-32.92,-1.44,-318.47,-7.87,-11.22,-13.07,-7.61,-1.39,-10.73,-1.43,-14.1,-13.21
